epoch,hidden_size,accuracy
0,576,0.8678
1,576,0.8969
2,576,0.8961
3,576,0.9078
4,576,0.9093
5,576,0.9196
6,576,0.9249
7,576,0.9301
8,576,0.9365
9,576,0.9357
10,576,0.9411
11,576,0.9383
12,576,0.9429
13,576,0.9398
14,576,0.9426
15,576,0.9428
16,576,0.9452
17,576,0.9356
18,576,0.9428
19,576,0.9402
20,576,0.9418
21,576,0.9415
22,576,0.941
23,576,0.944
24,576,0.9365
25,576,0.9408
26,576,0.9432
27,576,0.9454
28,576,0.9395
29,576,0.9479
30,576,0.9362
31,576,0.9398
32,576,0.9435
33,576,0.942
34,576,0.9358
35,576,0.9409
36,576,0.9395
37,576,0.9396
38,576,0.9376
39,576,0.9425
